pedestrianId simTime targetId-PID2
1 0.4 2
1 0.975327429635581 2
1 1.550654859271162 2
1 2.125982288906743 2
1 2.701309718542324 2
1 3.276637148177905 2
1 3.851964577813486 2
1 4.427292007449067 2
1 5.002619437084648 2
1 5.577946866720229 2
1 6.15327429635581 2
1 6.728601725991391 2
1 7.303929155626972 2
1 7.879256585262553 2
1 8.454584014898133 2
1 9.029911444533713 2
1 9.605238874169293 2
1 10.180566303804873 2
1 10.755893733440454 2
1 11.331221163076034 2
1 11.906548592711614 2
1 12.481876022347194 2
1 13.057203451982774 2
1 13.632530881618354 2
1 14.207858311253935 2
1 14.783185740889515 2
1 15.358513170525095 2
1 15.933840600160675 2
1 16.509168029796257 2
1 17.08449545943184 2
1 17.65982288906742 2
1 18.235150318703003 2
1 18.810477748338585 2
1 19.385805177974166 2
1 19.96113260760975 2
1 20.53646003724533 2
1 21.111787466880912 2
1 21.687114896516494 2
1 22.262442326152076 2
1 22.837769755787658 2
1 23.41309718542324 2
1 23.988424615058822 2
1 24.563752044694404 2
1 25.139079474329986 2
1 25.714406903965568 2
1 26.28973433360115 2
1 26.86506176323673 2
1 27.440389192872313 2
1 28.015716622507895 2
1 28.591044052143477 2
1 29.16637148177906 2
1 29.74169891141464 2
1 30.317026341050223 2
1 30.892353770685805 2
1 31.467681200321387 2
1 32.043008629956965 2
1 32.618336059592544 2
1 33.19366348922812 2
1 33.7689909188637 2
1 34.34431834849928 2
1 34.91964577813486 2
1 35.494973207770435 2
1 36.070300637406014 2
1 36.64562806704159 2
1 37.22095549667717 2
1 37.79628292631275 2
1 38.37161035594833 2
1 38.946937785583906 2
1 39.522265215219484 2
1 40.09759264485506 2
1 40.67292007449064 2
1 41.24824750412622 2
1 41.8235749337618 2
1 42.398902363397376 2
1 42.974229793032954 2
1 43.54955722266853 2
1 44.12488465230411 2
1 44.70021208193969 2
1 45.27553951157527 2
1 45.850866941210846 2
1 46.426194370846424 2
1 47.001521800482 2
1 47.57684923011758 2
1 48.15217665975316 2
1 48.72750408938874 2
1 49.302831519024316 2
1 49.878158948659895 2
1 50.45348637829547 2
1 51.02881380793105 2
1 51.60414123756663 2
1 52.17946866720221 2
1 52.75479609683779 2
1 53.330123526473365 2
1 53.90545095610894 2
1 54.48077838574452 2
1 55.0561058153801 2
1 55.63143324501568 2
1 56.20676067465126 2
1 56.782088104286835 2
1 57.35741553392241 2
1 57.93274296355799 2
1 58.50807039319357 2
1 59.08339782282915 2
1 59.65872525246473 2
1 60.234052682100305 2
