timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
7 9 15 0.39598496685957674 0.004015033140423285
17 15 27 0.3892218056918217 0.010778194308178335
18 22 34 0.38972248455256864 0.010277515447431385
19 33 34 0.39126255432547435 0.008737445674525668
23 40 49 0.3903585318780706 0.009641468121929397
29 53 59 0.3974640024676703 0.002535997532329748
29 58 62 0.3942943980807143 0.005705601919285708
31 54 58 0.3919265681102383 0.008073431889761729
38 56 82 0.3996215056063696 3.7849439363041304E-4
39 77 83 0.39484417247407205 0.0051558275259279696
40 57 61 0.3994788878070704 5.21112192929607E-4
40 73 82 0.3948348160332258 0.005165183966774234
43 77 85 0.3937795543993122 0.006220445600687796
62 49 76 0.39949915177011835 5.008482298816674E-4
95 31 86 0.391444436285509 0.00855556371449101
