timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 5 6 0.37667055641808533 0.02332944358191469
3 5 6 0.37533044070949534 0.024669559290504683
4 11 12 0.3774608236280993 0.022539176371900727
5 11 12 0.3807192038806785 0.01928079611932154
6 17 18 0.37683259733256463 0.02316740266743539
7 5 11 0.24302790186667805 0.15697209813332197
7 17 18 0.3781652255944819 0.02183477440551812
8 5 11 0.18216221385624423 0.2178377861437558
8 23 24 0.3745594022699716 0.025440597730028436
9 5 11 0.2145962693565697 0.18540373064343033
9 23 24 0.3429494846376573 0.057050515362342735
10 5 11 0.3378486909026196 0.062151309097380425
10 10 17 0.36078807308961003 0.039211926910389994
10 12 17 0.3780034898406613 0.021996510159338734
10 23 24 0.34643187605573605 0.05356812394426397
10 29 30 0.3775914183275238 0.022408581672476224
11 1 8 0.3964834086636579 0.003516591336342134
11 10 17 0.35123037011809494 0.048769629881905086
11 12 17 0.3184480341448621 0.08155196585513791
11 29 30 0.35859337504602123 0.04140662495397879
12 1 8 0.3812653842791415 0.01873461572085855
12 10 17 0.3984429024472287 0.001557097552771336
12 12 17 0.2682688423844077 0.13173115761559234
12 35 36 0.37854299814230574 0.02145700185769428
13 1 8 0.37800910280106004 0.021990897198939985
13 12 17 0.25334058398644443 0.1466594160135556
13 35 36 0.37054644355605243 0.029453556443947593
14 1 8 0.37748521976935884 0.022514780230641185
14 12 17 0.3274790192219713 0.07252098077802871
14 19 20 0.3994804562578228 5.195437421772198E-4
14 24 29 0.3504752615545468 0.04952473844545324
14 27 33 0.23486280507435553 0.1651371949256445
14 41 42 0.37625333769882896 0.023746662301171062
15 1 8 0.3767088975524068 0.023291102447593248
15 19 20 0.3952941161492875 0.004705883850712522
15 20 26 0.3970667818421504 0.0029332181578496375
15 24 29 0.3266300155681815 0.07336998443181852
15 27 33 0.07952548167618403 0.320474518323816
15 41 42 0.3480728431275723 0.051927156872427715
16 1 8 0.3761938297613525 0.023806170238647506
16 5 17 0.346736019958186 0.05326398004181404
16 16 22 0.37212887571064807 0.027871124289351956
16 20 26 0.35489414731468927 0.045105852685310754
16 22 28 0.3937856065974111 0.006214393402588947
16 24 29 0.35801613644169894 0.04198386355830108
16 27 33 0.1160662763904952 0.2839337236095048
16 30 35 0.3632362946856294 0.03676370531437062
16 41 42 0.3625641625902096 0.037435837409790396
16 47 48 0.3842875397057795 0.01571246029422052
17 1 8 0.3773788829270268 0.022621117072973207
17 5 17 0.26620009727523325 0.13379990272476677
17 16 22 0.3204135841427077 0.07958641585729231
17 20 26 0.34297648056923685 0.05702351943076317
17 22 28 0.3556606538526203 0.04433934614737972
17 30 35 0.3297199084348753 0.07028009156512471
17 41 42 0.39719284291487833 0.002807157085121692
18 1 8 0.383230748066603 0.01676925193339701
18 5 17 0.30620397008782346 0.09379602991217656
18 16 22 0.29435357832546644 0.10564642167453359
18 20 26 0.3472928655269848 0.05270713447301523
18 22 28 0.34368592011565113 0.05631407988434889
18 25 31 0.3838261635790126 0.01617383642098741
18 30 35 0.3352466113775686 0.06475338862243141
18 41 47 0.23084688170073747 0.16915311829926255
19 16 22 0.3113365844419744 0.08866341555802565
19 20 26 0.3615633648698111 0.03843663513018891
19 22 28 0.35422851607286887 0.04577148392713115
19 25 31 0.36035948341419144 0.03964051658580858
19 26 33 0.3218957381923697 0.0781042618076303
19 30 35 0.35279400307137865 0.047205996928621374
19 37 44 0.32371574115093843 0.07628425884906159
19 41 47 0.2356823185817775 0.16431768141822253
19 42 47 0.3094787399572326 0.09052126004276745
20 16 22 0.38637459227630816 0.013625407723691862
20 21 26 0.37551231294552856 0.024487687054471463
20 25 31 0.36565055717205525 0.034349442827944776
20 26 33 0.32376568609050643 0.07623431390949359
20 30 35 0.36178740009064025 0.03821259990935977
20 36 47 0.2990674109073893 0.10093258909261071
20 42 47 0.332838538548178 0.067161461451822
21 15 21 0.3963911231891586 0.0036088768108414326
21 16 18 0.386717546561809 0.013282453438191011
21 16 28 0.3159140563655304 0.08408594363446964
21 21 26 0.3085324473452842 0.09146755265471584
21 25 31 0.3819931410876737 0.01800685891232634
21 26 33 0.36276157082266464 0.037238429177335386
21 30 35 0.35608304579590405 0.04391695420409597
21 36 47 0.19640417923012093 0.2035958207698791
21 49 54 0.3999048639963278 9.513600367222486E-5
22 15 21 0.3675931684730699 0.032406831526930135
22 16 18 0.36338788097373276 0.036612119026267265
22 16 28 0.24744029181374666 0.15255970818625336
22 21 26 0.2957241654817956 0.10427583451820444
22 26 33 0.37653368887187644 0.023466311128123585
22 30 35 0.341402310106737 0.05859768989326303
22 37 43 0.39296564978965826 0.0070343502103417666
22 49 54 0.3687371051713005 0.03126289482869954
22 55 59 0.3830263103313235 0.016973689668676517
23 13 19 0.38606665383924915 0.01393334616075087
23 15 21 0.36743006382211457 0.03256993617788545
23 16 18 0.35646037937279595 0.04353962062720407
23 16 28 0.2399849604290932 0.16001503957090682
23 20 31 0.3457729017774977 0.054227098222502323
23 21 26 0.31407174319886694 0.08592825680113308
23 26 33 0.36489898994663816 0.03510101005336186
23 30 35 0.3258924660277765 0.07410753397222353
23 34 47 0.3560371635135813 0.043962836486418744
23 37 43 0.37397582062533674 0.02602417937466328
23 45 52 0.3735204533998384 0.026479546600161608
23 49 54 0.35216698520717965 0.04783301479282037
23 55 59 0.3974706019105832 0.0025293980894168233
24 13 19 0.3831724261451519 0.01682757385484812
24 15 21 0.3999666924075171 3.330759248293402E-5
24 16 18 0.38575726761193657 0.01424273238806345
24 16 28 0.35660766604762817 0.04339233395237185
24 19 25 0.38646426639470816 0.013535733605291866
24 20 31 0.3166910001997445 0.08330899980025552
24 21 26 0.34799982565794885 0.052000174342051175
24 26 33 0.36129380314998993 0.03870619685001009
24 30 35 0.3237502035541725 0.07624979644582752
24 35 47 0.3373571408979248 0.06264285910207523
24 37 43 0.3749071993145806 0.025092800685419414
24 45 52 0.3638097103122794 0.036190289687720645
24 49 54 0.3479704268197399 0.052029573180260136
25 7 13 0.39243848853776314 0.007561511462236881
25 13 19 0.3911824855187795 0.008817514481220534
